ID	Text	Valence	Arousal	Dominance	Category
0	Kweenie of da gij al es goed hebt stilgestaan bij het leven da ge de afgelopen jaren hebt geleid.	OV	0.303732028294	0.51301466395	0.664205293722	neutral
1	Santé.	BG	0.712377372843	0.492070931037	0.619150447798	joy
2	Ja kvind wel spannend. Das zo ineens euh de vuurdoop.	BG	0.706332221575	0.416042429654	0.466456417971	fear
3	Als ik één dag werk in, in, in de horecazaak waar ik sta, dan verdien ik meer… dan verdien ik bijna 70 euro. En das hier een maandloon en 3 euro 75 wij draaien daar, wij komen daar ons bed nie voor uit eh. Da vind ik hallucinant.	BZL	0.185985429818	0.786879676107	0.542409765784	anger
4	Een baas is een baas he, die moet je respecteren. Maar de bazen hier, daar heb ik het wel toch moeilijk mee.	BZL	0.391462667449	0.427519293717	0.28406108294	anger
5	Wat ben je allemaal aan het doen? Hoe behandelt gij uw mensen? En dan word ik daar kwaad van en reageer ik soms wel heel explosief. 	BZL	0.263163728196	0.579310523885	0.330973819364	anger
6	De vorige keer dak hier zaten, zi kik eiglik juist een relatie beëindigd met iemand. En nu ben ik terug samen met die jongen, wa da eiglik heel positief is in mn leven, want das echt iemand da nie gebruikt, dat echt van me houdt. En hij heeft me ook ten huwelijk gevraagd met Valentijn, dus ik heb goeie toekomstplannen.	OV	0.955111656759	0.536328250402	0.821833325463	joy
7	Ah doe ma. Nee da geeft nie.	BG	0.546124347886	0.166279023654	0.512573321398	joy
8	Ja nee ik ga een vestje aandoen. En een sjaal en een trui. Ist oke?	BG	0.522784088849	0.316325658542	0.484140308597	neutral
9	Die gaat dat heel goed doen. Daar heb ik het volste vertrouwen in.	BZL	0.751497130491	0.508638847187	0.703104723535	joy
10	Ja jongens. Dees is nie gezond ze. Pfff. Dees is nie gewoon. Na zen ik echt serieus aan het stressen hoor.	BG	0.338709743129	0.827687786703	0.26046718199	fear
11	Geen buren. Geen last van iemand.	BG	0.565436250289	0.383672014185	0.625460788941	neutral
12	Nee, sorry ik word daar zo kwaad van. Ik word daar echt boos van.	OV	0.154720743799	0.790217746524	0.667449138691	anger
13	Doen, Joke. Doen. Echt, ik sta derachter. Ik steun u.	BG	0.654094179888	0.645068533972	0.741473857558	joy
14	Tis een beetje een cursus stressbestendigheid.	BG	0.47488384476	0.21299705796	0.464485676899	fear
15	Oh allee da besta nie!	BZL	0.611080021082	0.95091789406	0.423630639014	joy
16	Da lukt echt langs geen kanten!	BZL	0.169291458812	0.892066339275	0.357814756196	anger
17	Nogal lui en, en… Soms ongeïnteresseerd ook. Da ik denk, Britt leesde gij nu nooit een gazet? Da stoort mij soms. Nooit nat journaal kijken, nie willen weten wat er in de wereld gebeurt. Euh ja. En da komt zo oppervlakkig over. Zo van…	BZL	0.223627860826	0.688664578753	0.470208764075	anger
18	Ik heb het moeilijk met superveel indrukken tegelijk op te doen. Ge hebt fabrieken, ge hebt families, en de andere omgeving en das allemaal heel veel. Dus ik moet da, ja, ik moet da wa in mij opnemen en wa laten bezinken en dan… Allee, ik vind da, vo mij is da… veel tegelijk gewoon.	BZL	0.361109259318	0.59501519715	0.211978571917	sadness
19	Wij hebben daar een feestmaal gekregen, dus ik ben daar wel dankbaar voor da ze da voor ons willen doen eh en da ze daar zo veel moeite in steken. Het was ook heel lekker. Ik heb heel goe gegeten.	BZL	0.843333306418	0.654037988622	0.724681684794	joy
20	Bwa, ça va.	BZL	0.458914145569	0.231485143309	0.324426148495	neutral
21	Kben een bitje emotioneel.	BG	0.255078066978	0.22022040697	0.510377844722	sadness
22	Ik ben geboren in een kapkar, lik da de cowboys vroeger. En euh daarin een bed of twee gemaakt. En wij slaapten daarin en moeder en vader van voren. En ’s morgens, tegen de morgen begint dat te vriezen. En dikwijls was ons slaapkleed daartegen bevroren en moesten we deraan trekken. Das ook geen leven eh.	OV	0.212141271759	0.507939422243	0.433717725166	sadness
23	Ik doe da wel graag ja. Das één van mijn saaie bezigheden.	BG	0.738342510654	0.292643264471	0.631891880081	joy
24	Dit is wa ik wel verwacht had.	BZL	0.66049777335	0.155623126672	0.585722352514	sadness
25	Gelukkige verjaardag, Marie-Louise. Alé toe, kom al hier.	OV	0.682822087572	0.620697007159	0.706154301568	joy
26	Eigenlijk was da verhoor gewoon voor slagen en verwondingen, maar ze zeiden ineens: ja tis iets anders geworden dusja... Da was wel efkes…	OV	0.248864051255	0.216447307649	0.220643858236	sadness
27	O Joke, die bloemekes!	BG	0.840106615309	0.959255780643	0.573064518142	joy
28	Voorwaarden? Volgen. Voorwaarden nie volgen? Gevang.	OV	0.377520568823	0.647211529117	0.728785644675	anger
29	<b> What the fuck is da voor ons? </b> - Zo veel mensen! - Das zo leuk!	BZL	0.604950437302	0.82779382802	0.266605822358	joy
30	Ik vind da ranzig. Ik vind dees echt… Het ziet er echt nie smakelijk uit en wij hebben die gisteren gewoon levend uit zo’n pond moeten halen.	BZL	0.131566564357	0.581036230541	0.37533078288	anger
31	Gezellig, met z’n allen door de stront stappen. Kakjob. Ze hebben hun twee netten al klaar. Ik word gewoon vermoeid van dat da zo saai is, maat. Tis precies die fabriek weer, jonge. Gisteren, we waren echt nog zo bezig. Echt bezig bezig. 	BZL	0.069617169507	0.80641867609	0.402735939363	anger
32	Kunnen wij daar wel me zes binnen?	BZL	0.483573564766	0.437213918299	0.142417108918	fear
33	Ma had ik geweten van, moest ik echt nog ene keer gedronken…	OV	0.27608980098	0.324125667272	0.127565285043	sadness
34	Wauw, zelfgemaakt.	BZL	0.843613169815	0.711622416621	0.470749036176	joy
35	En goeie feesten, zou ik zeggen. - Ja voor u ook eh. - <b> Ja we zullen ons best doen eh. </b>	OV	0.603891870561	0.513081976915	0.503580636994	joy
36	Goeiemorgen. Chef euh, mijn gsm, bankkaart en treinticket. Ik heb niks gekregen, ze hebben gezegd hier euh.	OV	0.458368830053	0.312169725447	0.348117167622	fear
37	Ja hoe kan ik het verwoorden ja? Ik euh ben nu eenmaal vroeger geen lieverdje geweest. Laat ons zeggen, in de ruigere milieus gezeten, alle dagen feest in plaats van werk.	OV	0.437571388348	0.42182909611	0.454213805927	neutral
38	Mogen we gaan? Merci. Ik kan die straat hier nie meer zien, mensen. Ge weet nie wa dat da is, negen maanden in een kot zitten. En al doen hetgeen da ze zeggen.	OV	0.402461333105	0.736243755257	0.619417512636	sadness
39	Mag kik eerst uw dochter een kus geven?	BZL	0.669837395639	0.405609883883	0.43703594731	joy
40	Ik hoopte eigenlijk vooral da ze mij nie achter aan naaimachine zouden zetten, ja, ja… Ja, euh, daar heb ik mij efkes in vergist.	BZL	0.397205310973	0.340640523003	0.326798866787	anger
41	Das met die sportschoenen zeker, da ze zo rap gaat? Zijn da van Nike misschien? Ma zo’n…	OV	0.588071618357	0.611947032175	0.497413875855	joy
42	U ziet het, dames en heren, de sfeer zit er heel goed in.	OV	0.956904471395	0.58847430134	0.634111202756	joy
43	What the fuck… Wa gaan wij doen? - Ge ziet daar een vliegtuig staan eh. - Wij gaan vliegen jongen. - En gij ga springen. - <b> Nee nee nee nee nee. Zijde ant zwanzen ofwa? </b>	BG	0.42938554294	0.884917796476	0.230264248047	fear
